source_url,target_url,status_code,evidence_id,approval_status,included_in_deployment
https://kakawachocolates.com.au/products/online-orders-only-crunchy-chocolate-pack,Unavailable,404,EV-0155,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/chocolates/twitter.com/intent/tweet?text=10+Chocolate+Facts+Most+People+Don%E2%80%99t+Know&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fchocolates%2F10-chocolate-facts-most-people-dont-know,Unavailable,404,EV-0199,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/chocolates/twitter.com/intent/tweet?text=A+Sweet+Collaboration+with+Sydney+Gift+Hampers&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fchocolates%2Fa-sweet-collaboration-with-sydney-gift-hampers,Unavailable,404,EV-0204,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/chocolates/twitter.com/intent/tweet?text=The+Best+Last-Minute+EOFY+Corporate+Gifts+%28That+Still+Feel+Thoughtful%29&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fchocolates%2Fbest-last-minute-eofy-corporate-gifts-australia,Unavailable,404,EV-0205,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/chocolates/twitter.com/intent/tweet?text=Handmade+Chocolates+vs+Factory+Made+Chocolates%3A+Why+Handmade%3F&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fchocolates%2Fhandmade-chocolates-vs-factory-made-chocolates-why-handmade,Unavailable,404,EV-0208,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/chocolates/twitter.com/intent/tweet?text=How+to+Pair+Single+Origin+Chocolate+with+Wine%2C+Whisky+and+Winter+Desserts&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fchocolates%2Fhow-to-pair-single-origin-chocolate-with-wine-whisky-and-winter-desserts,Unavailable,404,EV-0209,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/chocolates/twitter.com/intent/tweet?text=Kakawa%E2%80%99s+Brandied+Cherry+Gift+Box%3A+A+Year+in+the+Making&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fchocolates%2Fkakawa-brandied-cherry-gift-box-a-year-in-the-making,Unavailable,404,EV-0219,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/chocolates/twitter.com/intent/tweet?text=Pop+the+Champagne%3A+Meet+Kakawa%E2%80%99s+New+Party+Pack+Collection&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fchocolates%2Fpop-the-champagne-meet-kakawa-s-new-party-pack-collection,Unavailable,404,EV-0222,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/chocolates/twitter.com/intent/tweet?text=Single+Origin+Chocolate%3A+Why+Chocolate+Percentage+Doesn%E2%80%99t+Define+Flavour&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fchocolates%2Fsingle-origin-chocolate-why-chocolate-percentage-doesnt-define-flavour,Unavailable,404,EV-0223,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/collections/single-origin-chocolates/products/vietnam-64-copy,Unavailable,404,EV-0226,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/chocolates/twitter.com/intent/tweet?text=Thoughtful+Mother%27s+Day+Chocolate+Gifts+for+Every+Taste&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fchocolates%2Fthoughtful-mothers-day-chocolate-gifts-for-every-taste,Unavailable,404,EV-0231,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/chocolates/twitter.com/intent/tweet?text=Unique+Easter+Chocolate+Ideas+Beyond+the+Supermarket&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fchocolates%2Funique-easter-chocolate-ideas-beyond-the-supermarket,Unavailable,404,EV-0235,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/chocolates/twitter.com/intent/tweet?text=What+Your+Favourite+Fruit+Says+About+Your+Chocolate+Taste&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fchocolates%2Fwhat-your-favourite-fruit-says-about-your-chocolate-taste,Unavailable,404,EV-0241,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/in-the-media/twitter.com/intent/tweet?text=%E2%80%9C9+of+Australia%E2%80%99s+Best+Chocolate+Shops%E2%80%9D&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fin-the-media%2F9-of-australia-best-chocolate-shops,Unavailable,404,EV-0258,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/in-the-media/twitter.com/intent/tweet?text=Easter+eggs+%E2%80%93+Freaky+Easter+treats+are+the+flavour+of+the+month+%28+The+Sydney+Morning+Herald+%29&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fin-the-media%2Feaster-eggs-sydney-morning-herald,Unavailable,404,EV-0259,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/in-the-media/twitter.com/intent/tweet?text=Kakawa+Featured+Twice+in+Broadsheet%E2%80%99s+2025+Easter+Guides&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fin-the-media%2Fkakawa-featured-twice-in-broadsheet-s-2025-easter-guides,Unavailable,404,EV-0261,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/in-the-media/twitter.com/intent/tweet?text=%E2%80%9CSix+Of+The+Best+Easter+Eggs+For+Adults%E2%80%9D&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fin-the-media%2Fsix-of-the-best-easter-eggs-for-adults,Unavailable,404,EV-0266,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/in-the-media/twitter.com/intent/tweet?text=Sweet+Coverage%3A+Kakawa+Hops+Into+The+Sydney+Morning+Herald&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fin-the-media%2Fsweet-coverage-kakawa-hops-into-the-sydney-morning-herald,Unavailable,404,EV-0267,withheld_pending_graph_validation,false
https://kakawachocolates.com.au/blogs/in-the-media/twitter.com/intent/tweet?text=%E2%80%9CSydney%E2%80%99s+cracking+new+chocolate+Easter+eggs+for+every+budget%E2%80%9D&url=https%3A%2F%2Fkakawachocolates.com.au%2Fblogs%2Fin-the-media%2Fsydney-cracking-chocolate-easter-eggs,Unavailable,404,EV-0268,withheld_pending_graph_validation,false
