source_url,target_url,anchor,rationale,evidence_ids,approval_status
https://kakawachocolates.com.au/collections/party-packs/products/chocolate-slab-pack-online-only,https://kakawachocolates.com.au/collections/party-packs,Handcrafted Chocolate Packs for Every Celebration,Preserve a descriptive parent relationship,"EV-0015, EV-0014",review_ready
https://kakawachocolates.com.au/collections/party-packs/products/confectionery-pack-online-only,https://kakawachocolates.com.au/collections/party-packs,Handcrafted Chocolate Packs for Every Celebration,Preserve a descriptive parent relationship,"EV-0016, EV-0014",review_ready
https://kakawachocolates.com.au/blogs/chocolates/10-chocolate-facts-most-people-dont-know,https://kakawachocolates.com.au/blogs/chocolates,Blog,Preserve a descriptive parent relationship,"EV-0053, EV-0002",review_ready
https://kakawachocolates.com.au/blogs/chocolates/a-sweet-collaboration-with-sydney-gift-hampers,https://kakawachocolates.com.au/blogs/chocolates,Blog,Preserve a descriptive parent relationship,"EV-0054, EV-0002",review_ready
https://kakawachocolates.com.au/blogs/chocolates/best-last-minute-eofy-corporate-gifts-australia,https://kakawachocolates.com.au/blogs/chocolates,Blog,Preserve a descriptive parent relationship,"EV-0055, EV-0002",review_ready
https://kakawachocolates.com.au/blogs/chocolates/handmade-chocolates-vs-factory-made-chocolates-why-handmade,https://kakawachocolates.com.au/blogs/chocolates,Blog,Preserve a descriptive parent relationship,"EV-0056, EV-0002",review_ready
https://kakawachocolates.com.au/blogs/chocolates/how-to-pair-single-origin-chocolate-with-wine-whisky-and-winter-desserts,https://kakawachocolates.com.au/blogs/chocolates,Blog,Preserve a descriptive parent relationship,"EV-0057, EV-0002",review_ready
https://kakawachocolates.com.au/blogs/chocolates/kakawa-brandied-cherry-gift-box-a-year-in-the-making,https://kakawachocolates.com.au/blogs/chocolates,Blog,Preserve a descriptive parent relationship,"EV-0058, EV-0002",review_ready
https://kakawachocolates.com.au/blogs/chocolates/pop-the-champagne-meet-kakawa-s-new-party-pack-collection,https://kakawachocolates.com.au/blogs/chocolates,Blog,Preserve a descriptive parent relationship,"EV-0059, EV-0002",review_ready
https://kakawachocolates.com.au/blogs/chocolates/single-origin-chocolate-why-chocolate-percentage-doesnt-define-flavour,https://kakawachocolates.com.au/blogs/chocolates,Blog,Preserve a descriptive parent relationship,"EV-0060, EV-0002",review_ready
https://kakawachocolates.com.au/blogs/chocolates/the-gift-that-speaks-his-language-why-kakawa-s-booze-chocolates-are-perfect-for-father-s-day,https://kakawachocolates.com.au/blogs/chocolates,Blog,Preserve a descriptive parent relationship,"EV-0061, EV-0002",review_ready
https://kakawachocolates.com.au/blogs/chocolates/thoughtful-mothers-day-chocolate-gifts-for-every-taste,https://kakawachocolates.com.au/blogs/chocolates,Blog,Preserve a descriptive parent relationship,"EV-0062, EV-0002",review_ready
https://kakawachocolates.com.au/blogs/chocolates/unique-easter-chocolate-ideas-beyond-the-supermarket,https://kakawachocolates.com.au/blogs/chocolates,Blog,Preserve a descriptive parent relationship,"EV-0063, EV-0002",review_ready
https://kakawachocolates.com.au/blogs/chocolates/what-your-favourite-fruit-says-about-your-chocolate-taste,https://kakawachocolates.com.au/blogs/chocolates,Blog,Preserve a descriptive parent relationship,"EV-0064, EV-0002",review_ready
https://kakawachocolates.com.au/blogs/in-the-media/9-of-australia-best-chocolate-shops,https://kakawachocolates.com.au/blogs/in-the-media,In The Media,Preserve a descriptive parent relationship,"EV-0066, EV-0003",review_ready
https://kakawachocolates.com.au/blogs/in-the-media/easter-eggs-sydney-morning-herald,https://kakawachocolates.com.au/blogs/in-the-media,In The Media,Preserve a descriptive parent relationship,"EV-0067, EV-0003",review_ready
https://kakawachocolates.com.au/blogs/in-the-media/kakawa-featured-twice-in-broadsheet-s-2025-easter-guides,https://kakawachocolates.com.au/blogs/in-the-media,In The Media,Preserve a descriptive parent relationship,"EV-0068, EV-0003",review_ready
https://kakawachocolates.com.au/blogs/in-the-media/six-of-the-best-easter-eggs-for-adults,https://kakawachocolates.com.au/blogs/in-the-media,In The Media,Preserve a descriptive parent relationship,"EV-0069, EV-0003",review_ready
https://kakawachocolates.com.au/blogs/in-the-media/sweet-coverage-kakawa-hops-into-the-sydney-morning-herald,https://kakawachocolates.com.au/blogs/in-the-media,In The Media,Preserve a descriptive parent relationship,"EV-0070, EV-0003",review_ready
